"","ensembl.id","Symbol","moduleColor","GS.FGF21","MM.darkred","MM.salmon4"
"105","ENSMUSG00000038181","Chpf2","salmon4",0.843774175383922,0.7155045012386,0.936198382423687
"106","ENSMUSG00000023045","Soat2","salmon4",0.843598838343235,0.75804827802973,0.843484353347957
"107","ENSMUSG00000090799","Klhl33","salmon4",0.843424075006866,0.70950014658641,0.828581320348082
"108","ENSMUSG00000031490","Eif4ebp1","salmon4",0.842972214361718,0.64855572803417,0.715823243622128
"109","ENSMUSG00000054942","Miga1","salmon4",0.842736195820632,0.775139365201189,0.866619344454873
"110","ENSMUSG00000029161","Cgref1","salmon4",0.842703795635125,0.770466589804958,0.888442065070098
"111","ENSMUSG00000021226","Acot2","salmon4",0.841831482557681,0.648753697121063,0.905880488956334
"112","ENSMUSG00000037242","Clic4","salmon4",0.841735437642357,0.728534840469274,0.939059552168597
"113","ENSMUSG00000028712","Cyp4a31","salmon4",0.84101076057872,0.61420880481731,0.894469165704221
"114","ENSMUSG00000030432","Rpl28","salmon4",0.840397343925549,0.788520996404115,0.73395542778246
"115","ENSMUSG00000022895","Ets2","salmon4",0.840264376407388,0.765475765151736,0.943553410470056
"116","ENSMUSG00000041560","Nop53","salmon4",0.840076370467138,0.763568662131562,0.833017857477387
"117","ENSMUSG00000089764","Gm16580","salmon4",0.839539632152993,0.810043104887768,0.841517110634041
"118","ENSMUSG00000063919","Srrm4","salmon4",0.839483295330482,0.789033712819631,0.72987627871216
"119","ENSMUSG00000054277","Arfgap3","salmon4",0.839351976193306,0.844834973643996,0.814802556772713
"120","ENSMUSG00000070319","Eif3g","salmon4",0.838739510775311,0.877424506257188,0.814384852860443
"121","ENSMUSG00000030058","Copg1","salmon4",0.838624140560155,0.712385596214625,0.936654847780042
"122","ENSMUSG00000032849","Abcc4","salmon4",0.837659547566903,0.7754690418895,0.861648832003885
"123","ENSMUSG00000037254","Itih2","salmon4",0.837584028948843,0.852352648043101,0.853133811765252
"124","ENSMUSG00000032437","Stt3b","salmon4",0.836965041571527,0.791280394162926,0.800276424368832
"125","ENSMUSG00000000957","Mmp14","salmon4",0.836579018670987,0.724036808063887,0.91161956324466
"126","ENSMUSG00000018583","G3bp1","salmon4",0.836521101356775,0.755559392948874,0.874489923490029
"127","ENSMUSG00000060548","Tnfrsf19","salmon4",0.836146182048097,0.863159094841964,0.836777463244334
"128","ENSMUSG00000034667","Xpot","salmon4",0.836113523049722,0.781139742351073,0.851140877101835
"129","ENSMUSG00000072568","Lratd2","salmon4",0.835776410921154,0.846344146636579,0.720561463734993
"130","ENSMUSG00000036371","Serbp1","salmon4",0.835161857164412,0.83525937000239,0.809130645145879
"131","ENSMUSG00000027381","Bcl2l11","salmon4",0.834595297345369,0.735865702262504,0.898923171601597
"132","ENSMUSG00000026615","Eprs","salmon4",0.833761610170125,0.83505376349649,0.886875505716646
"133","ENSMUSG00000023912","Slc25a27","salmon4",0.833677679580106,0.613361748509402,0.839093899982334
"134","ENSMUSG00000040463","Mybbp1a","salmon4",0.832411507436332,0.763966811888421,0.972802928994023
"135","ENSMUSG00000060519","Tor3a","salmon4",0.832182761013218,0.801576750432845,0.84207745947258
"136","ENSMUSG00000045302","Preb","salmon4",0.832025800562246,0.699983388685928,0.932509797006191
"137","ENSMUSG00000024594","Prrc1","salmon4",0.83116140599453,0.794779712836914,0.877413024428758
"138","ENSMUSG00000008461","Fut1","salmon4",0.829703748101272,0.712073093870033,0.794893630449137
